name,year,shot_made_flag,isClutch,shot_distance,defender_distance,defender_height,action_type,dribbles,touch_time
Jon Leuer,2014,1,0,26,4.6,79.0,Jump Shot,0,0.8
Deron Williams,2014,1,0,26,6.2,77.0,Jump Shot,0,0.6
Joe Johnson,2014,1,0,24,1.9,79.0,Jump Shot,0,1.2
Joe Johnson,2014,0,0,24,13.3,83.0,Jump Shot,0,1.3
Marcus Thornton,2014,1,0,23,3.9,77.0,Jump Shot,0,0.9
Joe Johnson,2014,1,0,23,4.7,81.0,Jump Shot,0,1.5
Marcus Thornton,2014,1,0,25,3.7,77.0,Jump Shot,0,0.8
Marcus Thornton,2014,1,0,23,6.6,83.0,Jump Shot,0,0.7
Marcus Thornton,2014,1,0,23,4.9,77.0,Jump Shot,0,0.0
Paul Pierce,2014,1,0,25,6.4,81.0,Jump Shot,0,1.3
Joe Johnson,2014,1,0,23,4.2,73.0,Jump Shot,0,0.7
Paul Pierce,2014,1,0,25,5.2,81.0,Jump Shot,0,1.2
Stephen Curry,2014,1,0,25,6.8,75.0,Jump Shot,1,1.0
Andre Iguodala,2014,1,0,25,6.3,80.0,Jump Shot,0,0.0
Klay Thompson,2014,1,0,24,12.1,80.0,Jump Shot,0,0.8
Steve Blake,2014,0,0,25,4.9,80.0,Jump Shot,13,8.4
Paul Pierce,2014,1,0,24,4.0,77.0,Jump Shot,0,1.1
Kelly Olynyk,2014,1,0,24,6.0,78.0,Jump Shot,0,0.9
Rajon Rondo,2014,0,0,25,5.4,75.0,Jump Shot,0,1.2
Rajon Rondo,2014,0,0,25,4.5,81.0,Jump Shot,7,5.9
Trey Burke,2014,0,0,26,5.6,80.0,Jump Shot,5,4.4
Gordon Hayward,2014,0,0,24,6.0,80.0,Jump Shot,0,0.7
Trey Burke,2014,1,0,25,4.7,76.0,Jump Shot,0,0.0
Trey Burke,2014,1,0,25,2.9,76.0,Jump Shot,1,2.2
Bradley Beal,2014,1,0,23,8.8,79.0,Jump Shot,3,2.1
Bradley Beal,2014,1,0,25,5.1,79.0,Jump Shot,1,1.6
Trevor Ariza,2014,1,0,24,5.4,79.0,Jump Shot,0,0.7
Paul Pierce,2014,1,0,23,3.5,72.0,Jump Shot,0,1.0
James Harden,2014,1,0,25,13.1,80.0,Jump Shot,0,1.0
James Harden,2014,1,0,24,4.9,77.0,Jump Shot,4,4.2
Chandler Parsons,2014,1,0,26,7.0,79.0,Jump Shot,0,1.3
James Harden,2014,0,0,25,4.8,77.0,Jump Shot,0,1.0
Chandler Parsons,2014,1,0,26,5.3,79.0,Jump Shot,0,1.2
Patrick Beverley,2014,0,0,25,3.9,73.0,Jump Shot,3,3.4
Patrick Beverley,2014,0,0,22,6.0,80.0,Jump Shot,0,0.8
George Hill,2014,1,0,25,4.3,72.0,Jump Shot,12,11.7
George Hill,2014,1,0,27,5.8,72.0,Jump Shot,0,0.7
George Hill,2014,1,0,26,6.2,72.0,Jump Shot,0,0.8
Kemba Walker,2014,1,0,26,5.8,75.0,Jump Shot,0,0.8
Gary Neal,2014,1,0,22,3.7,78.0,Jump Shot,0,0.9
Tyreke Evans,2014,0,0,39,3.5,76.0,Jump Shot,2,2.5
Eric Gordon,2014,1,0,25,5.6,76.0,Jump Shot,0,0.7
Eric Gordon,2014,1,0,23,16.9,76.0,Jump Shot,0,1.1
Matt Barnes,2014,1,0,25,16.5,84.0,Jump Shot,0,0.9
Matt Barnes,2014,1,0,25,4.7,84.0,Jump Shot,0,0.9
Matt Barnes,2014,1,0,25,4.9,84.0,Jump Shot,0,0.8
Chris Paul,2014,0,0,24,8.3,75.0,Jump Shot,12,13.5
Markieff Morris,2014,0,0,23,8.3,79.0,Jump Shot,0,0.5
Gerald Green,2014,1,0,23,4.3,72.0,Jump Shot,0,0.6
Goran Dragic,2014,1,0,23,5.0,72.0,Jump Shot,0,0.9
Gerald Green,2014,1,0,23,5.2,79.0,Jump Shot,0,0.7
Gordon Hayward,2014,1,0,25,5.1,81.0,Jump Shot,1,4.0
James Anderson,2014,1,0,23,5.8,82.0,Jump Shot,0,1.0
Marcus Thornton,2014,1,0,25,5.0,75.0,Jump Shot,0,1.2
