name,action_type,shot_distance,defender_distance,defender_height,dribbles,touch_time,shot_made_flag,isClutch
Deron Williams,Jump Shot,24.0,4.3,79.0,1.0,1.8,0.0,1.0
Deron Williams,Jump Shot,25.0,4.7,80.0,1.0,0.8,0.0,0.0
Courtney Lee,Jump Shot,23.0,5.5,75.0,0.0,0.8,0.0,1.0
Courtney Lee,Jump Shot,23.0,5.6,75.0,0.0,0.9,0.0,0.0
Danny Green,Jump Shot,24.0,4.9,83.0,2.0,2.0,0.0,1.0
Danny Green,Jump Shot,25.0,5.4,83.0,1.0,1.7,0.0,0.0
Jose Calderon,Jump Shot,24.0,3.5,78.0,0.0,0.6,0.0,1.0
Jose Calderon,Jump Shot,23.0,3.8,77.0,0.0,0.8,1.0,0.0
Eric Gordon,Jump Shot,24.0,4.4,75.0,0.0,1.1,0.0,1.0
Eric Gordon,Jump Shot,25.0,4.1,76.0,0.0,0.7,1.0,0.0
Lou Williams,Jump Shot,24.0,3.7,80.0,0.0,0.9,0.0,1.0
Lou Williams,Jump Shot,25.0,3.7,79.0,0.0,1.5,0.0,0.0
Trey Burke,Jump Shot,23.0,2.5,72.0,0.0,0.8,1.0,1.0
Trey Burke,Jump Shot,24.0,2.6,73.0,0.0,1.0,0.0,0.0
Carmelo Anthony,Jump Shot,26.0,4.2,82.0,7.0,6.4,1.0,1.0
Carmelo Anthony,Jump Shot,25.0,4.2,82.0,6.0,5.5,0.0,0.0
Trey Burke,Jump Shot,25.0,2.7,72.0,1.0,1.5,0.0,1.0
Trey Burke,Jump Shot,25.0,3.2,73.0,0.0,0.7,0.0,0.0
Courtney Lee,Jump Shot,22.0,7.3,80.0,0.0,0.8,0.0,1.0
Courtney Lee,Jump Shot,22.0,7.5,80.0,0.0,0.9,0.0,0.0
