name,action_type,shot_distance,defender_distance,defender_height,dribbles,touch_time,shot_made_flag,isClutch
Marvin Williams,Jump Shot,25.0,5.9,76.0,0.0,0.9,0.0,1.0
Marvin Williams,Jump Shot,24.0,5.8,75.0,0.0,0.7,0.0,0.0
Monta Ellis,Jump Shot,25.0,3.5,77.0,0.0,0.9,1.0,1.0
Monta Ellis,Jump Shot,25.0,4.0,77.0,0.0,0.8,0.0,0.0
Patrick Beverley,Jump Shot,24.0,4.5,73.0,0.0,1.5,0.0,1.0
Patrick Beverley,Jump Shot,24.0,4.8,74.0,0.0,0.9,0.0,0.0
Steve Blake,Jump Shot,23.0,5.8,83.0,0.0,0.8,0.0,1.0
Steve Blake,Jump Shot,23.0,6.1,82.0,0.0,0.7,1.0,0.0
Ryan Anderson,Jump Shot,25.0,7.6,81.0,0.0,0.7,0.0,1.0
Ryan Anderson,Jump Shot,25.0,7.9,81.0,0.0,1.0,0.0,0.0
Steve Blake,Jump Shot,25.0,7.0,82.0,0.0,0.6,1.0,1.0
Steve Blake,Jump Shot,25.0,7.3,83.0,0.0,1.2,0.0,0.0
Carmelo Anthony,Jump Shot,25.0,4.6,79.0,0.0,1.2,1.0,1.0
Carmelo Anthony,Jump Shot,24.0,5.0,79.0,0.0,0.7,0.0,0.0
Darius Miller,Jump Shot,24.0,5.5,80.0,0.0,0.8,0.0,1.0
Darius Miller,Jump Shot,25.0,5.1,79.0,0.0,0.7,0.0,0.0
Rudy Gay,Jump Shot,24.0,3.0,81.0,0.0,1.4,0.0,1.0
Rudy Gay,Jump Shot,24.0,3.5,81.0,0.0,1.3,0.0,0.0
Nick Young,Jump Shot,27.0,5.9,83.0,0.0,0.9,0.0,1.0
Nick Young,Jump Shot,27.0,6.1,82.0,0.0,1.0,1.0,0.0
Kevin Martin,Jump Shot,25.0,5.9,79.0,0.0,1.0,0.0,1.0
Kevin Martin,Jump Shot,24.0,5.8,80.0,0.0,1.3,0.0,0.0
Goran Dragic,Jump Shot,25.0,2.4,75.0,1.0,1.8,0.0,1.0
Goran Dragic,Jump Shot,24.0,2.8,75.0,0.0,0.9,0.0,0.0
James Anderson,Jump Shot,25.0,2.5,75.0,1.0,1.3,1.0,1.0
James Anderson,Jump Shot,26.0,3.0,76.0,0.0,0.8,1.0,0.0
Matt Barnes,Jump Shot,25.0,4.8,80.0,0.0,0.7,1.0,1.0
Matt Barnes,Jump Shot,26.0,5.2,79.0,0.0,0.8,1.0,0.0
Shane Battier,Jump Shot,23.0,5.1,80.0,0.0,0.6,0.0,1.0
Shane Battier,Jump Shot,23.0,5.0,81.0,0.0,1.4,1.0,0.0
Darius Miller,Jump Shot,25.0,4.8,75.0,0.0,0.6,0.0,1.0
Darius Miller,Jump Shot,24.0,4.9,75.0,0.0,0.9,0.0,0.0
Kevin Love,Jump Shot,25.0,3.0,81.0,0.0,1.1,0.0,1.0
Kevin Love,Jump Shot,24.0,3.3,82.0,0.0,0.9,1.0,0.0
James Harden,Jump Shot,26.0,3.4,78.0,1.0,1.5,0.0,1.0
James Harden,Jump Shot,26.0,3.7,78.0,0.0,1.0,0.0,0.0
Klay Thompson,Jump Shot,24.0,7.3,74.0,0.0,0.7,1.0,1.0
Klay Thompson,Jump Shot,24.0,7.3,75.0,0.0,0.9,1.0,0.0
Jordan Crawford,Jump Shot,25.0,5.5,75.0,0.0,1.0,0.0,1.0
Jordan Crawford,Jump Shot,25.0,5.3,75.0,0.0,0.9,0.0,0.0
Kawhi Leonard,Jump Shot,25.0,5.1,78.0,0.0,0.9,0.0,1.0
Kawhi Leonard,Jump Shot,25.0,5.6,77.0,0.0,0.9,0.0,0.0
Ramon Sessions,Jump Shot,26.0,2.6,76.0,2.0,3.3,0.0,1.0
