name,year,shot_made_flag,isClutch,shot_distance,defender_distance,defender_height,action_type,dribbles,touch_time
Brandon Jennings,2014,0,0,14,4.2,78.0,Fadeaway Jump Shot,1,1.8
Kevin Love,2014,0,0,12,1.8,81.0,Fadeaway Jump Shot,1,3.8
Rodney Stuckey,2014,1,0,16,2.9,75.0,Fadeaway Jump Shot,2,5.7
Jeremy Lin,2014,0,0,10,2.8,75.0,Fadeaway Jump Shot,3,3.8
Joe Johnson,2014,0,0,17,5.0,76.0,Fadeaway Jump Shot,1,2.9
Arron Afflalo,2014,0,0,11,3.3,72.0,Fadeaway Jump Shot,3,3.9
Evan Fournier,2014,0,0,10,4.0,81.0,Fadeaway Jump Shot,3,4.4
Serge Ibaka,2014,1,0,13,3.2,80.0,Fadeaway Jump Shot,0,0.9
Spencer Hawes,2014,1,0,16,5.8,77.0,Fadeaway Jump Shot,0,4.5
Gerald Henderson,2014,0,0,18,4.7,79.0,Fadeaway Jump Shot,2,3.5
Kyrie Irving,2014,0,0,13,3.9,72.0,Fadeaway Jump Shot,12,13.2
Goran Dragic,2014,0,0,17,2.9,75.0,Fadeaway Jump Shot,5,3.3
Luol Deng,2014,0,0,16,3.7,78.0,Fadeaway Jump Shot,2,4.1
Kevin Durant,2014,1,0,17,7.2,84.0,Fadeaway Jump Shot,2,2.2
Rudy Gay,2014,0,0,17,2.5,78.0,Fadeaway Jump Shot,1,2.2
Dirk Nowitzki,2014,1,0,13,6.5,81.0,Fadeaway Jump Shot,0,0.8
Kobe Bryant,2014,0,0,17,1.7,79.0,Fadeaway Jump Shot,8,9.2
Nikola Vucevic,2014,0,0,13,2.9,78.0,Fadeaway Jump Shot,5,6.1
Ty Lawson,2014,1,0,13,5.7,83.0,Fadeaway Jump Shot,2,3.7
Stephen Curry,2014,0,0,21,3.2,74.0,Fadeaway Jump Shot,1,5.7
LaMarcus Aldridge,2014,0,0,15,4.2,79.0,Fadeaway Jump Shot,4,3.0
Arron Afflalo,2014,1,0,14,1.9,77.0,Fadeaway Jump Shot,4,6.6
Zach Randolph,2014,0,0,16,5.2,84.0,Fadeaway Jump Shot,0,3.5
Evan Turner,2014,1,0,10,2.8,78.0,Fadeaway Jump Shot,5,4.7
Eric Gordon,2014,0,0,14,5.4,85.0,Fadeaway Jump Shot,4,5.1
Randy Foye,2014,1,0,17,3.9,78.0,Fadeaway Jump Shot,0,0.8
Arron Afflalo,2014,0,0,15,2.5,75.0,Fadeaway Jump Shot,10,9.4
LaMarcus Aldridge,2014,1,0,19,2.2,77.0,Fadeaway Jump Shot,0,0.6
LaMarcus Aldridge,2014,1,0,16,4.5,80.0,Fadeaway Jump Shot,0,1.0
Nicolas Batum,2014,0,0,13,3.6,74.0,Fadeaway Jump Shot,0,1.0
Chris Paul,2014,1,0,12,4.1,84.0,Fadeaway Jump Shot,5,10.2
Rodney Stuckey,2014,0,0,14,2.7,79.0,Fadeaway Jump Shot,2,2.6
Carmelo Anthony,2014,0,0,14,3.1,80.0,Fadeaway Jump Shot,3,5.8
Jamal Crawford,2014,0,0,14,3.8,76.0,Fadeaway Jump Shot,2,3.8
Paul Millsap,2014,0,0,18,4.0,82.0,Fadeaway Jump Shot,1,2.4
Bradley Beal,2014,1,0,16,7.3,81.0,Fadeaway Jump Shot,2,1.9
Brandon Jennings,2014,1,0,16,4.5,72.0,Fadeaway Jump Shot,9,7.6
Paul Millsap,2014,0,0,17,2.0,79.0,Fadeaway Jump Shot,2,5.1
Dirk Nowitzki,2014,1,0,13,2.2,81.0,Fadeaway Jump Shot,2,3.0
LeBron James,2014,0,0,15,2.4,78.0,Fadeaway Jump Shot,5,5.7
Gerald Henderson,2014,1,0,10,2.5,80.0,Fadeaway Jump Shot,2,3.7
Klay Thompson,2014,0,0,20,3.8,74.0,Fadeaway Jump Shot,0,0.9
Dirk Nowitzki,2014,1,0,12,2.4,81.0,Fadeaway Jump Shot,1,3.4
Jamal Crawford,2014,0,0,11,3.4,83.0,Fadeaway Jump Shot,2,2.4
Kyrie Irving,2014,1,0,17,6.0,75.0,Fadeaway Jump Shot,0,1.0
Ty Lawson,2014,1,0,19,3.0,72.0,Fadeaway Jump Shot,8,6.3
Blake Griffin,2014,1,0,11,3.1,78.0,Fadeaway Jump Shot,5,5.3
Dirk Nowitzki,2014,0,0,14,2.3,83.0,Fadeaway Jump Shot,1,4.8
DeMar DeRozan,2014,1,0,18,2.9,81.0,Fadeaway Jump Shot,4,3.5
Glen Davis,2014,0,0,11,2.5,81.0,Fadeaway Jump Shot,2,4.0
David West,2014,1,0,14,4.3,82.0,Fadeaway Jump Shot,1,3.2
Paul George,2014,0,0,12,4.0,81.0,Fadeaway Jump Shot,11,8.7
LeBron James,2014,1,0,13,5.7,75.0,Fadeaway Jump Shot,8,7.2
Dirk Nowitzki,2014,0,0,15,3.0,80.0,Fadeaway Jump Shot,0,4.0
Nicolas Batum,2014,0,0,15,2.9,76.0,Fadeaway Jump Shot,1,3.1
